position_title,company_name,company_category,recruit_provider,annual_salary,career,education,working_condition,location,deadline_date,registration_date
[신사역1분] 로담한의원 글로벌센터 상담실장 모집,로담한의원,[],정보제공처 사람인,"연봉 4,500 만원 ~ 4,500 만원",경력2년,학력무관,기타,서울 강남구,2026-09-02,2026-08-03
[신사역1분/복지우수] 로담한의원 글로벌센터 코디네이터 사원모집,로담한의원,[],정보제공처 잡코리아,"연봉 3,000 만원 ~ 3,000 만원",경력무관,학력무관,주5일,서울 강남구,2026-09-02,2026-08-03
건설안전 신입/경력 채용,아전이엔씨(주),[],정보제공처 인크루트,"연봉 4,800 만원 ~ 5,500 만원",신입/경력1년,학력무관,,서울 강남구 등,2026-08-16,2026-08-03
"사무보조, 홈페이지 관리, 제품사진 촬영 편집 [연봉3500이상]",탑타임,[],정보제공처 사람인,"연봉 3,500 만원 ~ 3,500 만원",경력무관,학력무관,기타,서울 강남구,2026-09-02,2026-08-03
[경기 직영점][초봉3400만/성과급] 에듀플렉스 학습매니저 채용,넥스큐브코퍼레이션(주),['가족'],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),주5일,서울 등,2026-09-02,2026-08-03
[쿠팡 본사/풀재택 근무] AI 컨텐츠 품질 평가자 대규모 채용,리드커리어㈜,[],정보제공처 잡코리아,"연봉 3,300 만원 ~ 3,300 만원",경력무관,학력무관,주5일,서울 강남구 등,2026-08-12,2026-08-03
[분당 직영점][초봉3400만/성과급] 에듀플렉스 학습매니저,넥스큐브코퍼레이션(주),['가족'],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),주5일,서울 등,2026-09-02,2026-08-03
[문정 직영점][초봉3400만/성과급] 에듀플렉스 학습매니저 채용,넥스큐브코퍼레이션(주),['가족'],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),주5일,서울 등,2026-09-02,2026-08-03
[분당수내 직영점][초봉3400만] 에듀플렉스 학습매니저 채용,에듀플렉스,[],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),주5일,서울 강남구 등,2026-09-02,2026-08-03
[분당서현 직영점][초봉3400만] 에듀플렉스 학습매니저 채용,에듀플렉스,[],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),주5일,서울 등,2026-09-02,2026-08-03
